"Name","Unit","Price","Category ID"
"Металл","р\кг","84","1"
"Навес каплевидный","р\кг","49","1"
"Заклепки вытяжные диам.4*10 мм, алюминий/сталь","р\шт","0,65","1"
"Проволока для полуавтомата,кг","р\кг","130","1"
"Противосъём приварной","р\шт","3,2","1"
"заклепки гаечные М4","р\шт","1,6","1"
"обезжириватель, ацетон,л","р\л","125","1"
"Уплотнитель РГ-141 (10х12)","р\п.м","24,95","1"
"Уплотнитель на полотне YJ-A302 (10,8*15)","р\п.м","21","1"
"Уплотнитель на коробе 12*14","р\п.м","23","1"
"Мин вата в полотно 11 кг/м3 [Изовер]","р\куб.м","2300","1"
"Базальт 50 мм (ROCKWOOL LB 32 кг/м3)","р\куб.м","3500","1"
"Базальтовая плита 45 (1000х600х50)","р\куб.м","3800","1"
"Пенопласт ПСБ-15, толщина 30, шт","р\куб.м","3250","1"
"Заклепки вытяжные диам.4*10 мм, сталь/сталь","р\шт","1,6","1"
"Нержавейка для эксцентрика","р\шт","4,94","1"
"Винт 4*10","р\шт","0,37","1"
"Винт 4*40 (под эксцентрик)","р\шт","0,66","1"
"Винт 6*100","р\шт","4,67","1"
"заглушки под анкерные болты, ЗАП 25","р\шт","3","1"
"Заглушка ванночки под ригеля 18 мм","р\шт","16","1"
"Втулка D20 под ригель замка 18мм","р\шт","6","1"
"Уплотнитель магнит1082 (14,5х12,5) палка 2,1","р\шт","123","1"
"Уплотнитель магнит1082 (14,5х12,5) палка 2,2","р\шт","140","1"
"Пакетики для фурнитуры","р\шт","2,15","1"
"Пластиковый профиль СПЭНСЕР","р\п.м","45","1"
"Саморез 3,5*12 грибок","р\шт","0,2","1"
"Заглушки под противосьемы, ЗП 25","р\шт","3,2","1"
"Заглушка под ригеля квадратная Интекрон","р\шт","13","1"
"Пеноплекс 20*585*1185 (20 листов)","р\шт","138","1"
"Шпилька 10*30","р\шт","20,86","1"
"Гайка М10","р\шт","2,35","1"
"Винт 4*80","р\шт","1,3","1"
"Винт 3*50","р\шт","0,72","1"
"Саморезы разные","р\шт","100","1"
"Шуруп 3х10","р\шт","0,18","1"
"Гофра №5 для фурнитуры","р\шт","19,31","4"
"Пенопласт ПСБ-15, толщина 30, шт","р\куб.м","3250","4"
"Труба на петли","р\п.м","11","4"
"Прокладка 200*2000 под ленту","р\шт","17,7","4"
"Гофра 207А","р\шт","50","4"
"Прокладка 300*2000 под наличник","р\шт","22,7","4"
