"Name","Price","Unit","Category ID"
"Задвижка 65","63","р\компл.","3"
"Эксцентрик","31,4","р\компл.","3"
"Acuretto ML-16","360","р\компл.","3"
"Гардиан 32.11","758","р\компл.","3"
"Kale 442","875","р\компл.","3"
"Acuretto ML-18","485","р\компл.","3"
"Гардиан 30.11","1449","р\компл.","3"
"Kale 442L","2025","р\компл.","3"
"Acuretto ML-17","390","р\компл.","3"
"DWF Profi [55/10/25]","235","р\компл.","5"
"Fuaro D-Pro 507 [55/10/25]","670","р\компл.","5"
"Secureme K-2 [55/10/25]","3660","р\компл.","5"
"DWF Profi [60/10/25]","290","р\компл.","5"
"Fuaro D-Pro 507 [60/10/25]","790","р\компл.","5"
"Secureme K-2 [60/10/25]","3690","р\компл.","5"
"Fuaro D-Proterm 507 [60/10/25]","798","р\компл.","5"
"Guardian GS Termo [60/10/25]","1120","р\компл.","5"
"Ручка (21 серия), матовое золото","480",,"6"
"Ручка PALIDORE A-527 SSC черная","390",,"6"
"Ручка PALIDORE A-527 SSC хром матовый","390",,"6"
"Ручка 93 Бронза, компл.","277,1",,"6"
"Ручка 93 черн, компл.","240",,"6"
"Ручка 93 хром, компл.","218,7",,"6"
"Броненакладка + (21 серия), матовое золото","369",,"8"
"накладка под шток (21 серия), матовое золото","84",,"8"
"Броненакладка врезная PALIDORE 050-080-C SSC черная","360",,"8"
"Накладка PALIDORE шток черная 050-03 SSC","70",,"8"
"Броненакладка врезная PALIDORE 050-080-C SSC матовый хром","360",,"8"
"Накладка PALIDORE шток матовый хром 050-03 SSC","70",,"8"
"Броненакладка врезная (Protector Pro 50/27) бронза","395",,"8"
"Накладка под шток  (DP-K-11-AB) бронза","81",,"8"
"Броненакладка овальная врезная, черн","220",,"8"
"Накладка под шток овальная, черн","50",,"8"
"Броненакладка врезная хром","260",,"8"
"Накладка цилиндровая/овальная/дешёвая хром","19",,"8"
"Накладка сувальдная (21 серия), матовое золото, комплект","280,54",,"8"
"Накладка PALIDORE сувальдная черная 050-02 SSC","160",,"8"
"Накладка PALIDORE сувальдная матовый хром 050-02 SSC","160",,"8"
"Накладка сувальдная ""под КРИТ"", бронза (DP-13-S-Auto)","90",,"8"
"Накладка сув. овальная (DP-12-S) бронза","120",,"8"
"Накладка сувальдная ""под КРИТ"", черная","151",,"8"
"Накладка сувальдная овальная черн","50",,"8"
"Накладка сувальдная ""под КРИТ""","55",,"8"
"Накладка сувальдная/овальная/дешевая, шт","30",,"8"
"Глазок квадратный (21 серия), матовое золото","209,67",,"10"
"Глазок квадратный 70-130 черный ","114",,"10"
"Глазок MY003-70/130, матовый хром","115",,"10"
"Глазок круглый 50х90/Бронза, шт","205",,"10"
"Удлинитель Глазка (только в бронзе используется) ","43",,"10"
"Глазок Viever 70-130 black","100",,"10"
"Глазок круглый 70х130/Хром","73",,"10"
"Вертушок на ноч. задв. (21 серия), матовое золото","180,11",,"11"
"Вертушок PALIDORE на квадратном основании 050-TL SSC черный, шт","110",,"11"
"Вертушок PALIDORE на квадратном основании 050-TL SSC мат. Хром","110",,"11"
"Вертушок бронза 8х75 (TT-0705-8/75), шт","145",,"11"
"Вертушок 8х75 черн, шт","100",,"11"
"Вертушок, хром","64",,"11"
"Английский дуб фог","140","р\кв.м","13"
"Астана Эш Уайт","132","р\кв.м","13"
"Белый матовый","105","р\кв.м","13"
"Бетон светлый","148","р\кв.м","13"
"Бетон снежный","148","р\кв.м","13"
"Бетон тёмный","138","р\кв.м","13"
"Верона графит","159","р\кв.м","13"
"Грей","153","р\кв.м","13"
"Дуб бодега золотой","142","р\кв.м","13"
"Дуб бодега коричневый","220","р\кв.м","13"
"Дуб бодега натуральный","170","р\кв.м","13"
"Дуб мадейра песок","134","р\кв.м","13"
"Дуб мадейра янтарь","134","р\кв.м","13"
"Дуб морёный","245","р\кв.м","13"
"Дуб седан белый","134","р\кв.м","13"
"Дуб седан сиеста","153","р\кв.м","13"
"Дуб честерфилд лайт-грей","153","р\кв.м","13"
"Зелёный камень","134","р\кв.м","13"
"Канадский дуб арктик горизонтальный","148","р\кв.м","13"
"Канадский дуб пацифик горизонтальный","147","р\кв.м","13"
"Красная Бургундия","153","р\кв.м","13"
"Лиственница белая","122","р\кв.м","13"
"Лиственница капучино","145","р\кв.м","13"
"Лофт белый","168","р\кв.м","13"
"Морская волна","153","р\кв.м","13"
"Олива","153","р\кв.м","13"
"Орех каньон коньяк","153","р\кв.м","13"
"Ривьера айс","130","р\кв.м","13"
"Санд айс","263","р\кв.м","13"
"Санд антрацит","138","р\кв.м","13"
"Санд грей","159","р\кв.м","13"
"Санд дарк грей","159","р\кв.м","13"
"Санд лайт грей","159","р\кв.м","13"
"Санд миди грей","159","р\кв.м","13"
"Санд cмоук","159","р\кв.м","13"
"Секвойя графит","134","р\кв.м","13"
"Секвойя какао","134","р\кв.м","13"
"Секвойя латте","153","р\кв.м","13"
"Секвойя милк","153","р\кв.м","13"
"Синий","153","р\кв.м","13"
"Статус коньяк","200","р\кв.м","13"
"Чёрный матовый","138","р\кв.м","13"
"Шпон дуб коньяк","134","р\кв.м","13"
"Шпон дуб натуральный","181","р\кв.м","13"
"Комфорт МП (Стандарт)","1995",,"15"
"Комфорт ПП (Стандарт)","2203",,"15"
"Absolut МП (Стандарт)","2076",,"15"
"Absolut ПП (Стандарт)","2435",,"15"
"Цинкогрунтование","230",,"15"
"Установка порога из нержавейки","114",,"15"
"Закрыть коробку на Комфорт","122",,"15"
"Закрыть коробку на Absolut","141",,"15"
"Verso ","505",,"15"
"Forta","289",,"15"
"Stark","400",,"15"
"Порог из нержавейки","500",,"16"
"Закрытый короб","0",,"16"
"Термокабель в короб","500",,"16"
"Цинкогрунт","500",,"16"
"Hogo P-02","6300",,"17"
"Hogo V-05","17200",,"17"
"Dircode T850","21000",,"17"
"Гардиан 32.21","880",,"17"
"Hogo D-01 с бугельной ручкой","34000",,"17"
"Бугельная ручка с нажимным механизмом 1600  х 60","10000",,"17"
"Бугельная ручка с нажимным механизмом 1800  х 60","11000",,"17"
"Вертушок на шток (21 серия), матовое золото","100",,"18"
"Вертушок на шток черный, шт","57",,"18"
"Вертушок на шток матовый хром","60",,"18"
